id,name,artist,dance,energy,loud,mode,speech,acoustic,instrument,live,valence,tempo
4t4oqMSwwmpHzQIu1aok1z ,Amiga Da Minha Mulher                                                                                                                                                            ,Seu Jorge                                       ,0.788,0.916,-5.152,0,0.121,0.714,0.0,0.0867,0.829,104.015
3FgATQbFeqqgLiokntxDwx ,O Leãozinho                                                                                                                                                                      ,Caetano Veloso                                  ,0.57,0.16,-17.201,1,0.0498,0.896,1.39e-05,0.158,0.56,126.564
1yhuvsoxqYNw7gDgs7c8bW ,Coração Vagabundo                                                                                                                                                                ,Gal Costa                                       ,0.577,0.312,-13.453,0,0.0448,0.785,0.0976,0.138,0.372,80.698
2x6usZA1U6sWdRrlXbbTN5 ,Fotografia                                                                                                                                                                       ,Vanessa Da Mata                                 ,0.715,0.309,-12.395,0,0.0315,0.733,0.00455,0.172,0.563,98.071
2mEesUsY0P5sVhcejztBhk ,Fotografia                                                                                                                                                                       ,João Gilberto                                   ,0.437,0.197,-17.95,1,0.0433,0.958,3.84e-05,0.172,0.542,133.717
5dyxXwO5tacUf6PazUC2y7 ,"Rosa, Menina Rosa                                                                                                                                                              ",Jorge Ben Jor                                   ,0.584,0.641,-7.415,0,0.0886,0.376,0.0,0.118,0.732,96.264
3z7quP9A9iNsTiwGeutzV6 ,Fado Toninho                                                                                                                                                                     ,Deolinda                                        ,0.692,0.21,-9.525,1,0.0427,0.865,0.0,0.16,0.743,77.878
3BCM8JK32QMx7GQpdMPa0w ,Mal Por Mal                                                                                                                                                                      ,Deolinda                                        ,0.645,0.267,-10.552,1,0.0631,0.623,0.000725,0.11,0.389,146.339
5zE2UL4L0EAOl0do6kD3Hp ,Violão Vadio                                                                                                                                                                     ,Raphael Rabello                                 ,0.364,0.0884,-21.309,1,0.041,0.927,0.645,0.127,0.152,89.235
2srgmIDmA3Q8BIc8auSYa2 ,Chorinho Pra Voce                                                                                                                                                                ,Paulo Moura                                     ,0.654,0.4,-13.302,0,0.0405,0.784,0.799,0.0997,0.85,106.451
36dZLR4pZq5gas8YpdMIEQ ,Chorando Baixinho                                                                                                                                                                ,Raphael Rabello                                 ,0.492,0.102,-18.447,0,0.0613,0.916,0.0222,0.0914,0.573,205.863
2moGHNaU8a4j1iowyOiYnF ,Samba da Bênção                                                                                                                                                                  ,Maria Bethânia                                  ,0.597,0.549,-11.817,1,0.0543,0.372,0.000923,0.0992,0.866,159.381
